osm,ten,ten_khac,nuoc_giu,ghi_chu
w512656633,Đá Công Đo,,PH,Commodore Reef / Rizal
r6262405,Đảo Ba Bình,,TW,Itu Aba (OSM name:vi "Đảo Thái Bình" là phiên âm Taiping)
w1060359750,Bãi Bàn Than,,TW,Zhongzhou Reef
r5220687,Đá Hoa Lau,,MY,Swallow Reef / Layang-Layang
r20034307,Đá Én Ca,,MY,Erica Reef
w537200587,Đá Xu Bi,,CN,Subi Reef (OSM name:vi "Đảo Chử Bích" là phiên âm TQ)
r18148395,Đá Chữ Thập,,CN,Fiery Cross Reef (OSM name:vi "Đá Vĩnh Thử" là phiên âm TQ)
r11887493,Đá Vành Khăn,,CN,Mischief Reef
w301419555,Đá Gạc Ma,,CN,Johnson South Reef
w301419687,Đá Ga Ven,,CN,Gaven Reef
w321773558,Đá Tư Nghĩa,,CN,Hughes Reef
w435371531,Đá Châu Viên,,CN,Cuarteron Reef
