# OSM: "khoá=giá trị" (kèm "/tag phụ" cho place_of_worship, pitch, station). "khoá=*" = dự phòng theo khoá.
shop=variety_store,shopping_other
shop=wholesale,shopping_other
shop=clothes,clothes
shop=fashion,clothes
shop=fashion_accessories,clothes
shop=boutique,clothes
shop=shoes,shoes
shop=bag,clothes
shop=electronics,electronics
shop=computer,electronics
shop=hifi,electronics
shop=electrical,electronics
shop=mobile_phone,mobile_phone
shop=furniture,furniture
shop=interior_decoration,furniture
shop=houseware,furniture
shop=bed,furniture
shop=hardware,hardware
shop=doityourself,hardware
shop=paint,hardware
shop=trade,hardware
shop=building_materials,hardware
shop=jewelry,jewelry
shop=gold,jewelry
shop=watches,jewelry
shop=books,bookshop
shop=stationery,stationery
shop=copyshop,printing
shop=florist,florist
shop=garden_centre,florist
shop=gift,gift
shop=cosmetics,cosmetics
shop=chemist,cosmetics
shop=perfumery,cosmetics
shop=beauty,beauty_salon
shop=hairdresser,hair_salon
shop=barber,hair_salon
shop=massage,spa
shop=laundry,laundry
shop=dry_cleaning,laundry
shop=tailor,tailor
shop=fabric,shopping_other
shop=travel_agency,travel_agency
shop=sports,sports_shop
shop=outdoor,sports_shop
shop=pet,pet_shop
shop=pet_grooming,services_other
shop=toys,toys
shop=baby_goods,toys
shop=motorcycle,motorcycle_shop
shop=motorcycle_parts,motorcycle_shop
shop=motorcycle_repair,motorcycle_repair
shop=car,car_dealer
shop=car_repair,car_repair
shop=car_parts,shopping_other
shop=tyres,car_repair
shop=bicycle,bicycle_shop
shop=bakery,bakery
shop=confectionery,dessert
shop=pastry,bakery
shop=coffee,cafe
shop=tea,tea_house
shop=beverages,shopping_other
shop=alcohol,shopping_other
shop=butcher,shopping_other
shop=seafood,shopping_other
shop=greengrocer,shopping_other
shop=deli,shopping_other
shop=optician,optician
shop=hearing_aids,health_other
shop=medical_supply,health_other
shop=herbalist,traditional_medicine
shop=pawnbroker,pawnshop
shop=money_lender,credit_fund
shop=photo,photo_studio
shop=funeral_directors,services_other
shop=locksmith,services_other
shop=*,shopping_other
tourism=hotel,hotel
tourism=motel,motel
tourism=hostel,hostel
tourism=guest_house,guest_house
tourism=apartment,apartment_rental
tourism=chalet,lodging_other
tourism=camp_site,lodging_other
tourism=caravan_site,lodging_other
tourism=resort,resort
tourism=attraction,tourist_attraction
tourism=museum,museum
tourism=gallery,art_gallery
tourism=viewpoint,viewpoint
tourism=information,tourist_info
tourism=zoo,zoo
tourism=aquarium,aquarium
tourism=theme_park,amusement_park
tourism=artwork,monument
tourism=picnic_site,culture_tourism_other
tourism=*,culture_tourism_other
leisure=park,park
leisure=garden,garden
leisure=playground,entertainment_sport_other
leisure=fitness_centre,gym
leisure=fitness_station,gym
leisure=sports_centre,sports_center
leisure=sports_hall,sports_center
leisure=stadium,stadium
leisure=swimming_pool,swimming_pool
leisure=water_park,water_park
leisure=pitch/soccer,football_pitch
leisure=pitch/football,football_pitch
leisure=pitch/badminton,badminton_court
leisure=pitch/tennis,tennis_court
leisure=pitch/basketball,entertainment_sport_other
leisure=pitch/volleyball,entertainment_sport_other
leisure=pitch,entertainment_sport_other
leisure=amusement_arcade,gaming_center
leisure=adult_gaming_centre,gaming_center
leisure=bowling_alley,bowling
leisure=dance,entertainment_sport_other
leisure=beach_resort,beach
leisure=marina,port
leisure=nature_reserve,culture_tourism_other
leisure=golf_course,entertainment_sport_other
leisure=*,entertainment_sport_other
office=company,office
office=estate_agent,real_estate
office=lawyer,lawyer
office=notary,lawyer
office=accountant,accounting
office=tax_advisor,accounting
office=insurance,insurance
office=travel_agent,travel_agency
office=coworking,coworking
office=government,government_office
office=diplomatic,embassy
office=administrative,government_office
office=religion,religion_community_other
office=association,public_admin_other
office=ngo,social_facility
office=educational_institution,education_other
office=it,it_services
office=telecommunication,it_services
office=financial,credit_fund
office=financial_advisor,credit_fund
office=logistics,courier
office=courier,courier
office=advertising_agency,services_other
office=architect,services_other
office=engineer,services_other
office=newspaper,services_other
office=employment_agency,services_other
office=*,office
craft=tailor,tailor
craft=photographer,photo_studio
craft=carpenter,services_other
craft=electrician,services_other
craft=plumber,services_other
craft=shoemaker,services_other
craft=jeweller,jewelry
craft=*,services_other
healthcare=hospital,hospital
healthcare=clinic,clinic
healthcare=centre,clinic
healthcare=doctor,doctor
healthcare=dentist,dentist
healthcare=pharmacy,pharmacy
healthcare=laboratory,medical_lab
healthcare=sample_collection,medical_lab
healthcare=alternative,traditional_medicine
healthcare=midwife,maternity
healthcare=birthing_centre,maternity
healthcare=optometrist,optician
healthcare=physiotherapist,health_other
healthcare=nurse,health_other
healthcare=blood_donation,health_other
healthcare=*,health_other
historic=monument,monument
historic=memorial,monument
historic=castle,historic_site
historic=citadel,historic_site
historic=fort,historic_site
historic=ruins,historic_site
historic=archaeological_site,historic_site
historic=building,historic_site
historic=tomb,historic_site
historic=temple,temple
historic=church,church
historic=*,historic_site
public_transport=platform,bus_stop
public_transport=stop_area,bus_stop
public_transport=station/bus,bus_station
public_transport=station/train,train_station
public_transport=station/subway,metro_station
public_transport=station,transport_other
public_transport=*,transport_other
aeroway=aerodrome,airport
aeroway=terminal,airport
aeroway=*,transport_other
railway=station/subway,metro_station
railway=station/light_rail,metro_station
railway=station,train_station
railway=halt,train_station
railway=tram_stop,metro_station
railway=*,transport_other
# --- bổ sung sau khi đo độ phủ trên 228 nghìn đối tượng OSM VN (Task 6) ---
shop=ticket,travel_agency
shop=fuel,fuel
shop=appliance,electronics
shop=tattoo,beauty_salon
leisure=resort,resort
amenity=bicycle_rental,services_other
amenity=research_institute,education_other
amenity=prison,public_admin_other
tourism=alpine_hut,lodging_other
craft=handicraft,shopping_other
# shop=yes / healthcare=yes: giá trị "yes" không nói loại — rơi vào shopping_other/health_other qua wildcard, có chủ đích
# Khoá mở rộng 26/09/2026 (plan 2026-09-26 Task 4). Khoá này chỉ thành POI khi giá trị có dòng ở đây
# (taxonomy.mjs STRICT_OSM_KEYS) — giá trị lạ không rơi về other.
natural=peak,mountain
natural=volcano,mountain
natural=water/river,river
natural=water/canal,river
natural=water/stream,river
natural=water,lake
natural=beach,beach
natural=cave_entrance,cave
natural=bay,culture_tourism_other
natural=cape,culture_tourism_other
natural=spring,culture_tourism_other
natural=hot_spring,culture_tourism_other
natural=wetland,culture_tourism_other
waterway=waterfall,waterfall
place=island,island
place=islet,island
place=square,square
place=hamlet,hamlet
place=village,hamlet
place=isolated_dwelling,hamlet
place=neighbourhood,neighbourhood
place=quarter,neighbourhood
place=locality,locality
landuse=residential,residential_area
landuse=industrial,industrial_zone
landuse=commercial,commercial_area
landuse=retail,commercial_area
landuse=cemetery,cemetery
landuse=religious,religion_community_other
man_made=lighthouse,lighthouse
barrier=toll_booth,toll_booth
barrier=border_control,border_gate
highway=services,rest_area
highway=rest_area,rest_area
junction=yes,junction
junction=roundabout,junction
